oln_id	scer_gene_name	sgd_description	scer_uniprot_description	uniprot_acc	is_tf	is_kinases	peak_time	cneo_orthologs	cneo_ortholog_descriptions
tA(UGC)A	TGA1	Alanine tRNA (tRNA-Ala), predicted by tRNAscan-SE analysis; one of 5 nuclear tRNA genes containing the tDNA-anticodon TGC (mature tRNA may be UGC or may contain modified bases), decodes GCA and probably GCG codons into alanine, one of 16 nuclear tRNAs for alanine							
									
YAR014C	BUD14	Protein involved in bud-site selection; Bud14p-Glc7p complex is a cortical regulator of dynein; forms a complex with Kel1p and Kel2p that regulates Bnr1p (formin) to affect actin cable assembly, cytokinesis, and polarized growth; diploid mutants display a random budding pattern instead of the wild-type bipolar pattern; relative distribution to the nucleus increases upon DNA replication stress	Bud site selection protein 14	P27637					
									
YAR015W	ADE1	N-succinyl-5-aminoimidazole-4-carboxamide ribotide synthetase; required for 'de novo' purine nucleotide biosynthesis; red pigment accumulates in mutant cells deprived of adenine; protein abundance increases in response to DNA replication stress	Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6) (SAICAR synthetase)	P27616					
									
YAR018C	KIN3	Nonessential serine/threonine protein kinase; possible role in DNA damage response; influences tolerance to high levels of ethanol	Serine/threonine-protein kinase KIN3 (EC 2.7.11.1)	P22209		TRUE	79		
									
YAR019W-A		Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps ORF CDC15/YAR019C							
									
YAR019C	CDC15	Protein kinase of the Mitotic Exit Network; localized to the spindle pole bodies at late anaphase; promotes mitotic exit by directly switching on the kinase activity of Dbf2p; required for spindle disassembly after meiosis II; relocalizes to the cytoplasm upon DNA replication stress	Cell division control protein 15 (EC 2.7.11.1)	P27636		TRUE			
									
ARS110	ARS110	Autonomously Replicating Sequence; originally referred to as ADE1 ARS							
									
YAR020C	PAU7	Member of the seripauperin multigene family; active during alcoholic fermentation, regulated by anaerobiosis, inhibited by oxygen, repressed by heme	Seripauperin-7	P39545					
									
YAR023C		Putative integral membrane protein; member of DUP240 gene family	Putative DUP240 protein YAR023C	D6VPM8					
									
tL(CAA)A	SUP56	Leucine tRNA (tRNA-Leu), predicted by tRNAscan-SE analysis; can mutate to suppress amber nonsense mutations							
									
									
									
tS(AGA)A		Serine tRNA (tRNA-Ser), predicted by tRNAscan-SE analysis							
									
YARWsigma1		Ty3 LTR							
YARWdelta6		Ty1 LTR							
YAR027W	UIP3	Putative integral membrane protein of unknown function; interacts with Ulp1p at the nuclear periphery; member of DUP240 gene family	ULP1-interacting protein 3 (DUP240 protein UIP3)	P39547					
									
YAR028W		Putative integral membrane protein; member of DUP240 gene family; GFP-fusion protein is induced in response to the DNA-damaging agent MMS	DUP240 protein YAR028W	P39548					
									
YAR029W		Member of DUP240 gene family but contains no transmembrane domains; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern	DUP240 protein YAR029W	P39549					
									
YAR031W	PRM9	Pheromone-regulated protein; contains 3 predicted transmembrane segments and an FF sequence, a motif involved in COPII binding; member of DUP240 gene family; PRM9 has a paralog, PRM8, that arose from a segmental duplication	Pheromone-regulated membrane protein 9 (DUP240 protein PRM9)	P39551					
									
YAR030C		Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized ORF YAR029W and the verified gene PRM9							
									
YAR033W	MST28	Putative integral membrane protein, involved in vesicle formation; forms complex with Mst27p; member of DUP240 gene family; binds COPI and COPII vesicles; MST28 has a paralog, MST27, that arose from a segmental duplication	Multicopy suppressor of SEC21 protein 28 (DUP240 protein MST28)	P39552					
									
YARWdelta7		Ty2 LTR							
YAR035W	YAT1	Outer mitochondrial carnitine acetyltransferase; minor ethanol-inducible enzyme involved in transport of activated acyl groups from the cytoplasm into the mitochondrial matrix; phosphorylated	Putative mitochondrial carnitine O-acetyltransferase (EC 2.3.1.7)	P80235					
									
YAR035C-A		Putative protein of unknown function; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching; predicted to have a role in cell budding based on computational "guilt by association" analysis	Uncharacterized protein YAR035C-A	Q8TGV0					
									
YAR042W	SWH1	Protein similar to mammalian oxysterol-binding protein; contains ankyrin repeats and FFAT motif; interacts with ER anchor Scs2p at the nucleus-vacuole junction; regulated by sterol binding; SWH1 has a paralog, OSH2, that arose from the whole genome duplication	Oxysterol-binding protein homolog 1	P35845					
									
YAR047C		Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data							
									
YAR050W	FLO1	Lectin-like protein involved in flocculation; cell wall protein that binds mannose chains on the surface of other cells, confers floc-forming ability that is chymotrypsin sensitive and heat resistant; important for co-flocculation with other yeasts, mediating interaction with specific species; FLO1 has a paralog, FLO5, that arose from a segmental duplication	Flocculation protein FLO1 (Flocculin-1)	P32768					
									
YAR053W		Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data							
									
YARCdelta8		Ty1 LTR							
ARS111		Autonomously Replicating Sequence							
									
YAR060C		Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; YAR060C has a paralog, YHR212C, that arose from a segmental duplication							
									
YAR061W		Pseudogenic fragment with similarity to flocculins; YAR061W has a paralog, YHR212W-A, that arose from a segmental duplication							
									
YAR064W		Pseudogenic fragment with similarity to flocculins; YAR064W has a paralog, YHR213W-B, that arose from a segmental duplication	Uncharacterized protein YAR064W	P39563					
									
YAR066W		Putative GPI protein; SWAT-GFP and mCherry fusion proteins localize to the endoplasmic reticulum and vacuole respectively; YAR066W has a paralog, YHR214W, that arose from a segmental duplication	Putative GPI-anchored protein YAR066W	P0CX18					
									
YAR068W		Fungal-specific protein of unknown function; induced in respiratory-deficient cells; YAR068W has a paralog, YHR214W-A, that arose from a segmental duplication	Uncharacterized protein YAR068W	P39564					
									
ARS112		Autonomously Replicating Sequence							
YAR069C		Dubious open reading frame; unlikely to encode a protein, based on available experimental and comparative sequence data; YAR069C has a paralog, YHR214C-D, that arose from a segmental duplication							
									
YAR070C		Dubious open reading frame; unlikely to encode a protein, based on available experimental and comparative sequence data; YAR070C has a paralog, YHR214C-B, that arose from a segmental duplication							
									
YAR071W	PHO11	One of three repressible acid phosphatases; glycoprotein that is transported to the cell surface by the secretory pathway; induced by phosphate starvation and coordinately regulated by PHO4 and PHO2; PHO11 has a paralog, PHO12, that arose from a segmental duplication	Acid phosphatase PHO11 (EC 3.1.3.2) (P56)	P35842					
									
YAR073W	IMD1	Nonfunctional protein with homology to IMP dehydrogenase; blocked reading frame, located close to the telomere; not expressed at detectable levels; YAR073W and YAR075W comprise a continuous reading frame in most strains of S. cerevisiae; YAR073W/YAR075W together have a paralog, IMD2, that arose from a segmental duplication							
									
YAR075W		Non-functional protein with homology IMP dehydrogenase; YAR073W/IMD1 and YAR075W comprise a continuous reading frame in most strains of S. cerevisiae; YAR073W/YAR075W together have a paralog, IMD2, that arose from a segmental duplication							
									
TEL01R		Telomeric region on the right arm of Chromosome I; composed of an X element core sequence and a short terminal stretch of telomeric repeats							
		Terminal telomeric repeats on the right arm of Chromosome I							
		Telomeric X element Core sequence on the right arm of Chromosome I; contains an ARS consensus sequence and an Abf1p binding site consensus sequence							
ARS1001		Autonomously Replicating Sequence							
YJL225W-A		Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps the uncharacterized gene YJL225C							
									
YJL225C		Putative Y' element ATP-dependent helicase	Y' element ATP-dependent helicase YJL225C (EC 3.6.4.12)	P40889					
									
									
									
ARS1002		Autonomously Replicating Sequence							
TEL10L		Telomeric region on the left arm of Chromosome X; composed of an X element core sequence, X element combinatorial repeats, a long Y' element, and a short terminal stretch of telomeric repeats							
		Terminal telomeric repeats on the left arm of Chromosome X							
		Telomeric X element Core sequence on the left arm of Chromosome X; contains an ARS consensus sequence and an Abf1p binding site consensus sequence							
		Telomeric X element combinatorial repeat on the left arm of Chr X; contains a repeat of the D type with a group I mitochondrial bI4 intron insertion; formerly called SubTelomeric Repeats							
		Telomeric long Y' element on the left arm of Chromosome X; contains an ARS consensus sequence, a region of 36-bp repeats, and two ORFs YJL225C and YJL225W-A							
YJL223C	PAU1	Member of the seripauperin multigene family; encoded mainly in subtelomeric regions; SWAT-GFP and mCherry fusion proteins localize to the vacuole; active during alcoholic fermentation; regulated by anaerobiosis, negatively regulated by oxygen; repressed by heme; identical to Pau14p	Seripauperin-1	P0CE88					
									
YJL222W-B		Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data							
									
YJL222W-A		Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data							
									
YJL222W	VTH2	Putative membrane glycoprotein; has strong similarity to Vth1p and Pep1p/Vps10p; may be involved in vacuolar protein sorting	VPS10 homolog 2 (Sortilin VTH2)	P40890					
									
ARS1003		Autonomously Replicating Sequence							
YJL220W		Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified gene YJL221C/FSP2							
									
YJL221C	IMA4	Alpha-glucosidase; weak, but broad substrate specificity for alpha-1,4- and alpha-1,6-glucosides; member of IMA isomaltase family; not required for isomaltose utilization, but Ima4p overexpression allows the ima1 null mutant to grow on isomaltose; identical to IMA3	Oligo-1,6-glucosidase IMA4 (EC 3.2.1.10) (Alpha-glucosidase) (Flocculent-specific protein 2) (Isomaltase 4)	P0CW41					
									
YJL219W	HXT9	Putative hexose transporter that is nearly identical to Hxt11p; has similarity to major facilitator superfamily (MFS) transporters, expression of HXT9 is regulated by transcription factors Pdr1p and Pdr3p	Hexose transporter HXT9	P40885					
									
YJL218W		Putative acetyltransferase; similar to bacterial galactoside O-acetyltransferases; induced by oleate in an OAF1/PIP2-dependent manner; promoter contains an oleate response element consensus sequence; non-essential gene	Putative acetyltransferase YJL218W (EC 2.3.1.-)	P40892			3		
